x,y,direction,numberOfCoins,expectedX,expectedY
0,0,RIGHT,1577106424,0,0
3,3,RIGHT,1577106424,1,1
2,2,RIGHT,1577106424,1,1
5,4,RIGHT,1577106424,2,2
92,353,RIGHT,1577106424,46,176
12,177,DOWN,35168025,6,88
122,45,RIGHT,1940262080,61,22
345,316,RIGHT,1775074208,172,158
87,30,RIGHT,1823910921,43,15
74,153,LEFT,1982087008,37,76
424,5,DOWN,1498680092,212,2
354,463,LEFT,871134343,177,231
138,25,DOWN,496161462,69,12
254,359,LEFT,1584795850,127,179
67,436,UP,1689118925,33,218
67,138,UP,1333684458,33,69
390,176,UP,1461248556,195,88
186,399,RIGHT,103208987,93,199
34,105,LEFT,426971055,17,52
88,234,DOWN,831552344,44,117
