x,y,direction,numberOfCoins,yToAssign,expectedResultY
23,0,DOWN,1841726593,253,253
66,1,DOWN,1841726593,2,3
22,499,DOWN,1841726593,1,499
100,0,DOWN,1841726593,-1,0
163,309,LEFT,2124824825,206,499
381,467,RIGHT,1087058796,84,499
99,401,DOWN,1257968035,484,499
350,484,UP,1892288181,-437,47
156,107,RIGHT,1861797083,120,227
100,156,DOWN,1610198027,-115,41
10,346,DOWN,2021570188,409,499
238,119,RIGHT,943740031,-230,0
381,3,RIGHT,1179493466,-485,0
199,261,UP,461774053,145,406
93,116,DOWN,669754452,232,348
215,103,UP,623798543,-11,92
123,90,DOWN,813482135,312,402
73,320,RIGHT,1933171916,179,499
284,78,DOWN,1860413830,-442,0
219,426,RIGHT,1381499012,40,466
